j	k	likelihood
0.005	11100	-817925.960462959
0.005	11150	-817925.323286962
0.005	11200	-817924.689010381
0.005	11250	-817924.057607071
0.005	11300	-817923.429051262
0.005	11350	-817922.803317505
0.005	11400	-817922.180380728
0.005	11450	-817921.560216155
0.005	11500	-817920.942799359
0.005	11550	-817920.328106219
0.005	11600	-817919.71611293
0.005	11650	-817919.106796025
0.005	11700	-817918.500132298
0.005	11750	-817917.896098878
0.005	11800	-817917.294673158
0.005	11850	-817916.695832861
0.005	11900	-817916.09955594
0.005	11950	-817915.505820682
0.005	12000	-817914.914605615
0.01	50	-818191.196458654
0.01	100	-817957.941283357
0.01	150	-817823.814634481
0.01	200	-817730.261777203
0.01	250	-817658.740045263
0.01	300	-817601.013081759
0.01	350	-817552.713607234
0.01	400	-817511.252510242
0.01	450	-817474.971281029
0.01	500	-817442.745091313
0.01	550	-817413.776784609
0.01	600	-817387.481344466
0.01	650	-817363.417053525
0.01	700	-817341.242419747
0.01	750	-817320.688117604
0.01	800	-817301.538081639
0.01	850	-817283.616394981
0.01	900	-817266.777967944
0.01	950	-817250.901765986
0.01	1000	-817235.885795342
0.01	1050	-817221.643326793
0.01	1100	-817208.100008674
0.01	1150	-817195.191629617
0.01	1200	-817182.86236346
0.01	1250	-817171.063376995
0.01	1300	-817159.751714286
0.01	1350	-817148.889394361
0.01	1400	-817138.442675037
0.01	1450	-817128.381447774
0.01	1500	-817118.67873637
0.01	1550	-817109.310279021
0.01	1600	-817100.25417766
0.01	1650	-817091.490601901
0.01	1700	-817083.001537838
0.01	1750	-817074.770573783
0.01	1800	-817066.782716513
0.01	1850	-817059.024233131
0.01	1900	-817051.482514258
0.01	1950	-817044.145955267
0.01	2000	-817037.003852744
0.01	2050	-817030.046313906
0.01	2100	-817023.264177111
0.01	2150	-817016.648941838
0.01	2200	-817010.192706857
0.01	2250	-817003.888115348
0.01	2300	-816997.728306302
0.01	2350	-816991.706871046
0.01	2400	-816985.817814537
0.01	2450	-816980.055520643
0.01	2500	-816974.41472099
0.01	2550	-816968.890466945
0.01	2600	-816963.478104365
0.01	2650	-816958.173250726
0.01	2700	-816952.971774556
0.01	2750	-816947.869776602
0.01	2800	-816942.863572868
0.01	2850	-816937.949679073
0.01	2900	-816933.124796569
0.01	2950	-816928.385799399
0.01	3000	-816923.729722497
0.01	3050	-816919.153750859
0.01	3100	-816914.655209677
0.01	3150	-816910.231555141
0.01	3200	-816905.880366097
0.01	3250	-816901.599336286
0.01	3300	-816897.38626725
0.01	3350	-816893.239061684
0.01	3400	-816889.15571741
