j	k	likelihood
0.07	3100	-806604.828665679
0.07	3150	-806591.068952595
0.07	3200	-806577.580859908
0.07	3250	-806564.355006263
0.07	3300	-806551.382470964
0.07	3350	-806538.654764906
0.07	3400	-806526.163803572
0.07	3450	-806513.901882229
0.07	3500	-806501.861652885
0.07	3550	-806490.03610305
0.07	3600	-806478.418535889
0.07	3650	-806467.002551981
0.07	3700	-806455.782032195
0.07	3750	-806444.751121937
0.07	3800	-806433.904216275
0.07	3850	-806423.235946302
0.07	3900	-806412.741166245
0.07	3950	-806402.414941497
0.07	4000	-806392.252537432
0.07	4050	-806382.249408933
0.07	4100	-806372.401190604
0.07	4150	-806362.70368756
0.07	4200	-806353.152866853
0.07	4250	-806343.744849367
0.07	4300	-806334.475902254
0.07	4350	-806325.342431781
0.07	4400	-806316.34097664
0.07	4450	-806307.468201655
0.07	4500	-806298.720891803
0.07	4550	-806290.095946644
0.07	4600	-806281.590375017
0.07	4650	-806273.20129008
0.07	4700	-806264.925904589
0.07	4750	-806256.761526445
0.07	4800	-806248.705554513
0.07	4850	-806240.755474622
0.07	4900	-806232.908855828
0.07	4950	-806225.163346809
0.07	5000	-806217.516672538
0.07	5050	-806209.966631015
0.07	5100	-806202.511090318
0.07	5150	-806195.147985619
0.07	5200	-806187.875316535
0.07	5250	-806180.691144459
0.07	5300	-806173.593590121
0.07	5350	-806166.580831255
0.07	5400	-806159.651100297
0.07	5450	-806152.802682306
0.07	5500	-806146.033912946
0.07	5550	-806139.343176505
0.07	5600	-806132.728904083
0.07	5650	-806126.189571827
0.07	5700	-806119.723699285
0.07	5750	-806113.329847727
0.07	5800	-806107.00661872
0.07	5850	-806100.752652581
0.07	5900	-806094.566627044
0.07	5950	-806088.447255882
0.07	6000	-806082.393287672
0.07	6050	-806076.403504537
0.07	6100	-806070.476721016
0.07	6150	-806064.611782909
0.07	6200	-806058.807566249
0.07	6250	-806053.062976231
0.07	6300	-806047.376946271
0.07	6350	-806041.748437027
0.07	6400	-806036.176435542
0.07	6450	-806030.659954298
0.07	6500	-806025.198030503
0.07	6550	-806019.789725166
0.07	6600	-806014.434122417
0.07	6650	-806009.130328727
0.07	6700	-806003.877472233
0.07	6750	-805998.674702021
0.07	6800	-805993.521187501
0.07	6850	-805988.416117763
0.07	6900	-805983.358700982
0.07	6950	-805978.348163811
0.07	7000	-805973.383750874
0.07	7050	-805968.464724137
0.07	7100	-805963.590362502
0.07	7150	-805958.759961205
0.07	7200	-805953.972831396
0.07	7250	-805949.228299635
0.07	7300	-805944.525707473
0.07	7350	-805939.864411011
0.07	7400	-805935.243780483
0.07	7450	-805930.663199814
0.07	7500	-805926.122066318
0.07	7550	-805921.619790247
0.07	7600	-805917.155794455
0.07	7650	-805912.729514052
0.07	7700	-805908.340396065
0.07	7750	-805903.987899105
0.07	7800	-805899.671493062
0.07	7850	-805895.390658787
0.07	7900	-805891.144887813
0.07	7950	-805886.933682055
0.07	8000	-805882.756553536
0.07	8050	-805878.613024149
0.07	8100	-805874.502625357
0.07	8150	-805870.42489796
0.07	8200	-805866.379391858
0.07	8250	-805862.36566583
0.07	8300	-805858.383287265
0.07	8350	-805854.431831991
0.07	8400	-805850.51088403
0.07	8450	-805846.620035401
0.07	8500	-805842.758885934
0.07	8550	-805838.927043048
0.07	8600	-805835.124121591
0.07	8650	-805831.349743636
0.07	8700	-805827.603538319
0.07	8750	-805823.885141683
0.07	8800	-805820.194196446
0.07	8850	-805816.530351944
0.07	8900	-805812.893263869
0.07	8950	-805809.282594182
0.07	9000	-805805.698010965
0.07	9050	-805802.139188234
0.07	9100	-805798.605805834
0.07	9150	-805795.097549314
0.07	9200	-805791.614109761
0.07	9250	-805788.155183695
0.07	9300	-805784.720472947
0.07	9350	-805781.309684519
0.07	9400	-805777.922530494
0.07	9450	-805774.558727901
0.07	9500	-805771.217998601
0.07	9550	-805767.900069204
0.07	9600	-805764.604670961
0.07	9650	-805761.331539621
0.07	9700	-805758.080415379
0.07	9750	-805754.851042759
0.07	9800	-805751.643170543
0.07	9850	-805748.456551621
0.07	9900	-805745.290942967
0.07	9950	-805742.146105532
0.07	10000	-805739.02180414
0.07	10050	-805735.917807425
0.07	10100	-805732.833887751
0.07	10150	-805729.769821113
0.07	10200	-805726.725387102
0.07	10250	-805723.700368789
0.07	10300	-805720.69455267
0.07	10350	-805717.707728611
0.07	10400	-805714.739689753
0.07	10450	-805711.790232452
0.07	10500	-805708.859156229
0.07	10550	-805705.946263687
0.07	10600	-805703.05136046
0.07	10650	-805700.174255176
0.07	10700	-805697.314759324
0.07	10750	-805694.472687285
0.07	10800	-805691.64785622
0.07	10850	-805688.840086041
0.07	10900	-805686.049199333
0.07	10950	-805683.275021326
0.07	11000	-805680.517379845
0.07	11050	-805677.776105225
0.07	11100	-805675.051030314
0.07	11150	-805672.34199038
0.07	11200	-805669.648823099
0.07	11250	-805666.971368491
0.07	11300	-805664.309468865
0.07	11350	-805661.662968821
0.07	11400	-805659.031715145
0.07	11450	-805656.415556812
0.07	11500	-805653.81434496
0.07	11550	-805651.227932774
0.07	11600	-805648.656175541
0.07	11650	-805646.098930564
0.07	11700	-805643.556057105
0.07	11750	-805641.027416404
0.07	11800	-805638.512871605
0.07	11850	-805636.012287728
0.07	11900	-805633.525531644
0.07	11950	-805631.052472038
0.07	12000	-805628.592979363
0.075	50	-811828.321409875
0.075	100	-810542.083078829
0.075	150	-809839.8512024
0.075	200	-809367.825068877
0.075	250	-809017.528711504
0.075	300	-808741.849057279
0.075	350	-808516.247918205
0.075	400	-808326.397156599
0.075	450	-808163.240178799
0.075	500	-808020.707862012
0.075	550	-807894.545923449
0.075	600	-807781.663685204
0.075	650	-807679.749461777
0.075	700	-807587.03187244
0.075	750	-807502.125538669
0.075	800	-807423.927855062
0.075	850	-807351.547882586
0.075	900	-807284.256119493
0.075	950	-807221.448232216
0.075	1000	-807162.618355953
0.075	1050	-807107.339100316
0.075	1100	-807055.246345509
0.075	1150	-807006.027521159
0.075	1200	-806959.412457368
0.075	1250	-806915.16616224
0.075	1300	-806873.083061544
0.075	1350	-806832.98236084
0.075	1400	-806794.704278971
0.075	1450	-806758.106964587
0.075	1500	-806723.063953151
0.075	1550	-806689.462055205
0.075	1600	-806657.199591564
0.075	1650	-806626.184909548
0.075	1700	-806596.335128588
0.075	1750	-806567.575074212
0.075	1800	-806539.836367537
0.075	1850	-806513.056644107
0.075	1900	-806487.178880753
0.075	1950	-806462.150813102
0.075	2000	-806437.92442954
0.075	2050	-806414.455530117
0.075	2100	-806391.703340536
0.075	2150	-806369.63017331
0.075	2200	-806348.201129422
0.075	2250	-806327.383834703
0.075	2300	-806307.148206424
0.075	2350	-806287.466245934
0.075	2400	-806268.311853933
0.075	2450	-806249.66066563
0.075	2500	-806231.489903182
0.075	2550	-806213.7782433
0.075	2600	-806196.505698285
0.075	2650	-806179.653508822
0.075	2700	-806163.204047197
0.075	2750	-806147.140729755
0.075	2800	-806131.447937628
0.075	2850	-806116.110944662
0.075	2900	-806101.115851973
0.075	2950	-806086.449528255
0.075	3000	-806072.099555391
0.075	3050	-806058.054178649
0.075	3100	-806044.302261181
0.075	3150	-806030.833242308
0.075	3200	-806017.637099138
0.075	3250	-806004.704311456
0.075	3300	-805992.025829203
0.075	3350	-805979.593042701
0.075	3400	-805967.397755024
0.075	3450	-805955.432156588
0.075	3500	-805943.688801554
0.075	3550	-805932.160586051
0.075	3600	-805920.840727943
0.075	3650	-805909.722748073
0.075	3700	-805898.800452838
0.075	3750	-805888.067917965
0.075	3800	-805877.51947343
0.075	3850	-805867.149689421
0.075	3900	-805856.953363193
0.075	3950	-805846.925506856
0.075	4000	-805837.061335908
0.075	4050	-805827.356258596
0.075	4100	-805817.805865842
0.075	4150	-805808.405921916
0.075	4200	-805799.152355645
0.075	4250	-805790.041252144
0.075	4300	-805781.0688451
0.075	4350	-805772.23150948
0.075	4400	-805763.525754708
0.075	4450	-805754.948218237
0.075	4500	-805746.495659457
0.075	4550	-805738.164954014
0.075	4600	-805729.953088437
0.075	4650	-805721.857155024
0.075	4700	-805713.874347082
0.075	4750	-805706.00195439
0.075	4800	-805698.237358877
0.075	4850	-805690.578030658
0.075	4900	-805683.021524128
0.075	4950	-805675.565474339
0.075	5000	-805668.207593616
0.075	5050	-805660.945668266
0.075	5100	-805653.777555439
0.075	5150	-805646.7011803
0.075	5200	-805639.714533161
0.075	5250	-805632.815666855
0.075	5300	-805626.002694234
0.075	5350	-805619.273785798
0.075	5400	-805612.627167366
0.075	5450	-805606.061117937
0.075	5500	-805599.573967679
0.075	5550	-805593.16409588
0.075	5600	-805586.82992913
0.075	5650	-805580.569939539
0.075	5700	-805574.382643012
0.075	5750	-805568.266597629
0.075	5800	-805562.220402118
0.075	5850	-805556.242694354
0.075	5900	-805550.332149932
0.075	5950	-805544.487480855
0.075	6000	-805538.707434208
0.075	6050	-805532.990790915
0.075	6100	-805527.33636461
0.075	6150	-805521.743000431
0.075	6200	-805516.209574004
0.075	6250	-805510.734990337
0.075	6300	-805505.31818289
0.075	6350	-805499.958112561
0.075	6400	-805494.653766823
0.075	6450	-805489.404158807
0.075	6500	-805484.208326491
0.075	6550	-805479.065331874
0.075	6600	-805473.974260177
0.075	6650	-805468.934219155
0.075	6700	-805463.944338328
0.075	6750	-805459.003768325
0.075	6800	-805454.111680208
0.075	6850	-805449.267264836
0.075	6900	-805444.469732242
0.075	6950	-805439.718311085
0.075	7000	-805435.012248031
0.075	7050	-805430.350807253
0.075	7100	-805425.733269855
0.075	7150	-805421.158933432
0.075	7200	-805416.627111526
0.075	7250	-805412.137133169
0.075	7300	-805407.688342459
0.075	7350	-805403.280098079
0.075	7400	-805398.911772912
0.075	7450	-805394.582753634
0.075	7500	-805390.292440277
0.075	7550	-805386.040245909
0.075	7600	-805381.825596238
0.075	7650	-805377.647929255
0.075	7700	-805373.5066949
0.075	7750	-805369.401354763
0.075	7800	-805365.33138172
0.075	7850	-805361.296259612
0.075	7900	-805357.295483042
0.075	7950	-805353.32855699
0.075	8000	-805349.394996567
0.075	8050	-805345.494326765
0.075	8100	-805341.626082174
0.075	8150	-805337.789806754
0.075	8200	-805333.985053552
0.075	8250	-805330.211384509
0.075	8300	-805326.4683702
0.075	8350	-805322.755589643
0.075	8400	-805319.072630058
0.075	8450	-805315.419086659
0.075	8500	-805311.794562491
0.075	8550	-805308.198668175
0.075	8600	-805304.631021789
0.075	8650	-805301.091248613
0.075	8700	-805297.578981008
0.075	8750	-805294.093858212
0.075	8800	-805290.635526184
0.075	8850	-805287.203637448
0.075	8900	-805283.797850923
0.075	8950	-805280.417831776
0.075	9000	-805277.063251264
0.075	9050	-805273.733786616
0.075	9100	-805270.429120877
0.075	9150	-805267.148942754
0.075	9200	-805263.89294652
0.075	9250	-805260.66083186
0.075	9300	-805257.452303751
0.075	9350	-805254.267072352
0.075	9400	-805251.104852883
0.075	9450	-805247.965365501
0.075	9500	-805244.848335182
0.075	9550	-805241.753491647
0.075	9600	-805238.68056923
0.075	9650	-805235.629306769
0.075	9700	-805232.599447534
0.075	9750	-805229.590739117
0.075	9800	-805226.602933313
0.075	9850	-805223.635786066
0.075	9900	-805220.68905738
0.075	9950	-805217.762511184
0.075	10000	-805214.855915315
0.075	10050	-805211.969041376
0.075	10100	-805209.101664692
0.075	10150	-805206.253564227
0.075	10200	-805203.424522478
0.075	10250	-805200.614325459
0.075	10300	-805197.822762563
0.075	10350	-805195.049626544
0.075	10400	-805192.294713417
0.075	10450	-805189.557822405
0.075	10500	-805186.838755864
0.075	10550	-805184.137319244
0.075	10600	-805181.453320985
0.075	10650	-805178.786572493
0.075	10700	-805176.13688807
0.075	10750	-805173.504084851
0.075	10800	-805170.88798275
0.075	10850	-805168.288404406
0.075	10900	-805165.705175137
0.075	10950	-805163.13812287
0.075	11000	-805160.587078121
0.075	11050	-805158.051873903
0.075	11100	-805155.532345715
0.075	11150	-805153.028331459
0.075	11200	-805150.539671452
0.075	11250	-805148.066208304
0.075	11300	-805145.607786947
0.075	11350	-805143.164254523
0.075	11400	-805140.735460402
0.075	11450	-805138.321256117
0.075	11500	-805135.921495292
0.075	11550	-805133.536033679
0.075	11600	-805131.16472904
0.075	11650	-805128.807441149
0.075	11700	-805126.464031762
0.075	11750	-805124.134364549
0.075	11800	-805121.818305111
0.075	11850	-805119.515720878
0.075	11900	-805117.226481136
0.075	11950	-805114.950456948
0.075	12000	-805112.68752117
0.08	50	-811421.939488457
0.08	100	-810085.391229667
0.08	150	-809359.2732999
0.08	200	-808872.940071793
0.08	250	-808513.087487221
0.08	300	-808230.608031144
0.08	350	-807999.967506469
0.08	400	-807806.277458427
0.08	450	-807640.138978399
0.08	500	-807495.260712488
0.08	550	-807367.237204107
0.08	600	-807252.871051725
0.08	650	-807149.772916871
0.08	700	-807056.113483893
0.08	750	-806970.46322685
0.08	800	-806891.685285685
0.08	850	-806818.861724016
0.08	900	-806751.241470078
0.08	950	-806688.2027483
0.08	1000	-806629.225438776
0.08	1050	-806573.870389238
0.08	1100	-806521.763691939
0.08	1150	-806472.584568229
0.08	1200	-806426.055916327
0.08	1250	-806381.936853117
0.08	1300	-806340.016768363
0.08	1350	-806300.11053974
0.08	1400	-806262.054648464
0.08	1450	-806225.704000786
0.08	1500	-806190.929307592
0.08	1550	-806157.614909364
0.08	1600	-806125.656959084
0.08	1650	-806094.961895185
0.08	1700	-806065.445151044
0.08	1750	-806037.030058591
0.08	1800	-806009.646912331
0.08	1850	-805983.232166537
0.08	1900	-805957.727743709
0.08	1950	-805933.08043638
0.08	2000	-805909.241387641
0.08	2050	-805886.165638431
0.08	2100	-805863.811731513
0.08	2150	-805842.141363991
0.08	2200	-805821.11908138
0.08	2250	-805800.712007477
0.08	2300	-805780.889605173
0.08	2350	-805761.623464007
0.08	2400	-805742.887111107
0.08	2450	-805724.655842365
0.08	2500	-805706.906571435
0.08	2550	-805689.617694324
0.08	2600	-805672.768967697
0.08	2650	-805656.341399239
0.08	2700	-805640.31714875
0.08	2750	-805624.679438676
0.08	2800	-805609.412473142
0.08	2850	-805594.501364287
0.08	2900	-805579.932065533
0.08	2950	-805565.691310542
0.08	3000	-805551.766557796
0.08	3050	-805538.145939751
0.08	3100	-805524.818216437
0.08	3150	-805511.772732892
0.08	3200	-805498.999380089
0.08	3250	-805486.488559098
0.08	3300	-805474.231147969
0.08	3350	-805462.218471413
0.08	3400	-805450.442272666
0.08	3450	-805438.894687562
0.08	3500	-805427.568220603
0.08	3550	-805416.455722716
0.08	3600	-805405.550370737
0.08	3650	-805394.845648258
0.08	3700	-805384.335327952
0.08	3750	-805374.013455098
0.08	3800	-805363.874332216
0.08	3850	-805353.912504783
0.08	3900	-805344.122747926
0.08	3950	-805334.500053994
0.08	4000	-805325.039620932
0.08	4050	-805315.736841419
0.08	4100	-805306.587292735
0.08	4150	-805297.586727225
0.08	4200	-805288.731063382
0.08	4250	-805280.016377495
0.08	4300	-805271.438895806
0.08	4350	-805262.994987106
0.08	4400	-805254.681155852
0.08	4450	-805246.494035575
0.08	4500	-805238.430382808
0.08	4550	-805230.487071273
0.08	4600	-805222.661086427
0.08	4650	-805214.949520308
0.08	4700	-805207.349566727
0.08	4750	-805199.858516632
0.08	4800	-805192.473753798
0.08	4850	-805185.192750749
0.08	4900	-805178.013064821
0.08	4950	-805170.932334564
0.08	5000	-805163.948276229
0.08	5050	-805157.058680472
0.08	5100	-805150.261409238
0.08	5150	-805143.554392787
0.08	5200	-805136.935626919
0.08	5250	-805130.403170236
0.08	5300	-805123.955141655
0.08	5350	-805117.589717977
0.08	5400	-805111.305131587
0.08	5450	-805105.099668285
0.08	5500	-805098.971665172
0.08	5550	-805092.919508723
0.08	5600	-805086.94163283
0.08	5650	-805081.036517083
0.08	5700	-805075.202684968
0.08	5750	-805069.438702318
0.08	5800	-805063.743175661
0.08	5850	-805058.114750808
0.08	5900	-805052.552111378
0.08	5950	-805047.053977433
0.08	6000	-805041.619104225
0.08	6050	-805036.24628088
0.08	6100	-805030.934329278
0.08	6150	-805025.682102863
0.08	6200	-805020.488485557
0.08	6250	-805015.352390747
0.08	6300	-805010.272760235
0.08	6350	-805005.248563317
0.08	6400	-805000.27879585
0.08	6450	-804995.362479356
0.08	6500	-804990.498660196
0.08	6550	-804985.686408741
0.08	6600	-804980.924818611
0.08	6650	-804976.213005894
0.08	6700	-804971.550108446
0.08	6750	-804966.935285216
0.08	6800	-804962.367715554
0.08	6850	-804957.846598576
0.08	6900	-804953.371152556
0.08	6950	-804948.940614335
0.08	7000	-804944.554238764
0.08	7050	-804940.211298113
0.08	7100	-804935.911081599
0.08	7150	-804931.652894842
0.08	7200	-804927.436059396
0.08	7250	-804923.25991224
0.08	7300	-804919.123805395
0.08	7350	-804915.027105407
0.08	7400	-804910.969192976
0.08	7450	-804906.949462527
0.08	7500	-804902.967321835
0.08	7550	-804899.022191626
0.08	7600	-804895.113505219
0.08	7650	-804891.240708171
0.08	7700	-804887.403257939
0.08	7750	-804883.600623552
0.08	7800	-804879.832285293
0.08	7850	-804876.097734373
0.08	7900	-804872.396472661
0.08	7950	-804868.728012385
0.08	8000	-804865.091875846
0.08	8050	-804861.48759515
0.08	8100	-804857.914711978
0.08	8150	-804854.372777289
0.08	8200	-804850.86135109
0.08	8250	-804847.380002235
0.08	8300	-804843.92830815
0.08	8350	-804840.505854642
0.08	8400	-804837.112235674
0.08	8450	-804833.747053137
0.08	8500	-804830.409916707
0.08	8550	-804827.100443577
0.08	8600	-804823.818258337
0.08	8650	-804820.562992729
0.08	8700	-804817.334285523
0.08	8750	-804814.131782311
0.08	8800	-804810.955135356
0.08	8850	-804807.804003418
0.08	8900	-804804.678051608
0.08	8950	-804801.57695123
0.08	9000	-804798.500379642
0.08	9050	-804795.448020085
0.08	9100	-804792.419561598
0.08	9150	-804789.414698807
0.08	9200	-804786.433131862
0.08	9250	-804783.474566277
0.08	9300	-804780.538712803
0.08	9350	-804777.625287319
0.08	9400	-804774.734010717
0.08	9450	-804771.864608784
0.08	9500	-804769.016812065
0.08	9550	-804766.190355812
0.08	9600	-804763.384979828
0.08	9650	-804760.600428386
0.08	9700	-804757.836450135
0.08	9750	-804755.092797986
0.08	9800	-804752.369229028
0.08	9850	-804749.665504471
0.08	9900	-804746.981389465
0.08	9950	-804744.316653131
0.08	10000	-804741.671068381
0.08	10050	-804739.044411882
0.08	10100	-804736.436463968
0.08	10150	-804733.847008565
0.08	10200	-804731.275833118
0.08	10250	-804728.7227285
0.08	10300	-804726.187488947
0.08	10350	-804723.669912019
0.08	10400	-804721.169798468
0.08	10450	-804718.686952241
0.08	10500	-804716.221180363
0.08	10550	-804713.772292904
0.08	10600	-804711.340102901
0.08	10650	-804708.924426306
0.08	10700	-804706.52508193
0.08	10750	-804704.141891379
0.08	10800	-804701.774678994
0.08	10850	-804699.423271812
0.08	10900	-804697.087499499
0.08	10950	-804694.767194311
0.08	11000	-804692.46219102
0.08	11050	-804690.172326893
0.08	11100	-804687.897441637
0.08	11150	-804685.637377319
0.08	11200	-804683.39197838
0.08	11250	-804681.16109154
0.08	11300	-804678.944565784
0.08	11350	-804676.742252283
0.08	11400	-804674.554004403
0.08	11450	-804672.379677619
0.08	11500	-804670.21912951
0.08	11550	-804668.072219689
0.08	11600	-804665.938809779
0.08	11650	-804663.818763406
0.08	11700	-804661.711946084
0.08	11750	-804659.618225268
0.08	11800	-804657.53747027
0.08	11850	-804655.469552223
0.08	11900	-804653.41434408
0.08	11950	-804651.371720534
0.08	12000	-804649.341558042
0.085	50	-811026.731509855
0.085	100	-809643.947531481
0.085	150	-808896.535971834
0.085	200	-808397.811442682
0.085	250	-808029.926907472
0.085	300	-807741.915616743
0.085	350	-807507.32244379
0.085	400	-807310.744735441
0.085	450	-807142.471671176
0.085	500	-806996.010787525
0.085	550	-806866.820734474
0.085	600	-806751.608804388
0.085	650	-806647.916765144
0.085	700	-806553.864235354
0.085	750	-806467.983029682
0.085	800	-806389.106488282
0.085	850	-806316.293343902
0.085	900	-806248.774009101
0.085	950	-806185.911837965
0.085	1000	-806127.174641364
0.085	1050	-806072.113378971
0.085	1100	-806020.345973734
0.085	1150	-805971.544846633
0.085	1200	-805925.427196411
0.085	1250	-805881.747333641
0.085	1300	-805840.290572258
0.085	1350	-805800.868315923
0.085	1400	-805763.314071061
0.085	1450	-805727.480185753
0.085	1500	-805693.235162505
0.085	1550	-805660.461428571
0.085	1600	-805629.053474057
0.085	1650	-805598.916287837
0.085	1700	-805569.964036223
0.085	1750	-805542.118940937
0.085	1800	-805515.31032147
0.085	1850	-805489.473774123
0.085	1900	-805464.550465042
0.085	1950	-805440.48651888
0.085	2000	-805417.232488151
0.085	2050	-805394.742890907
0.085	2100	-805372.975806474
0.085	2150	-805351.892520842
0.085	2200	-805331.457214557
0.085	2250	-805311.636687292
0.085	2300	-805292.400113913
0.085	2350	-805273.718828073
0.085	2400	-805255.566129498
0.085	2450	-805237.917112111
0.085	2500	-805220.74851026
0.085	2550	-805204.0385609
0.085	2600	-805187.766879738
0.085	2650	-805171.914349723
0.085	2700	-805156.4630205
0.085	2750	-805141.396017409
0.085	2800	-805126.697459188
0.085	2850	-805112.352383201
0.085	2900	-805098.346677528
0.085	2950	-805084.667019148
0.085	3000	-805071.300817504
0.085	3050	-805058.236163053
0.085	3100	-805045.461780093
0.085	3150	-805032.966983588
0.085	3200	-805020.741639642
0.085	3250	-805008.776129017
0.085	3300	-804997.061313736
0.085	3350	-804985.588506232
0.085	3400	-804974.349440894
0.085	3450	-804963.336247855
0.085	3500	-804952.541428663
0.085	3550	-804941.957833881
0.085	3600	-804931.578642234
0.085	3650	-804921.397341304
0.085	3700	-804911.407709612
0.085	3750	-804901.603799961
0.085	3800	-804891.979923915
0.085	3850	-804882.530637365
0.085	3900	-804873.250727092
0.085	3950	-804864.135198188
0.085	4000	-804855.179262309
0.085	4050	-804846.378326773
0.085	4100	-804837.727984244
0.085	4150	-804829.224003156
0.085	4200	-804820.862318741
0.085	4250	-804812.639024542
0.085	4300	-804804.550364547
0.085	4350	-804796.592725721
0.085	4400	-804788.762631033
0.085	4450	-804781.056732859
0.085	4500	-804773.471806866
0.085	4550	-804766.00474609
0.085	4600	-804758.652555502
0.085	4650	-804751.412346842
0.085	4700	-804744.281333691
0.085	4750	-804737.256826879
0.085	4800	-804730.336230141
0.085	4850	-804723.517035952
0.085	4900	-804716.796821677
0.085	4950	-804710.173245848
0.085	5000	-804703.644044689
0.085	5050	-804697.207028782
0.085	5100	-804690.86007995
0.085	5150	-804684.601148278
0.085	5200	-804678.428249259
0.085	5250	-804672.339461149
0.085	5300	-804666.33292238
0.085	5350	-804660.406829191
0.085	5400	-804654.559433243
0.085	5450	-804648.789039513
0.085	5500	-804643.094004143
0.085	5550	-804637.472732469
0.085	5600	-804631.923677163
0.085	5650	-804626.445336387
0.085	5700	-804621.036252087
0.085	5750	-804615.695008351
0.085	5800	-804610.420229838
0.085	5850	-804605.210580312
0.085	5900	-804600.064761172
0.085	5950	-804594.981510109
0.085	6000	-804589.959599803
0.085	6050	-804584.997836675
0.085	6100	-804580.095059698
0.085	6150	-804575.250139237
0.085	6200	-804570.46197597
0.085	6250	-804565.729499861
0.085	6300	-804561.051669128
0.085	6350	-804556.427469291
0.085	6400	-804551.855912255
0.085	6450	-804547.336035437
0.085	6500	-804542.866900898
0.085	6550	-804538.447594549
0.085	6600	-804534.077225373
0.085	6650	-804529.754924644
0.085	6700	-804525.479845259
0.085	6750	-804521.25116101
0.085	6800	-804517.068065937
0.085	6850	-804512.929773667
0.085	6900	-804508.835516853
0.085	6950	-804504.784546525
0.085	7000	-804500.776131535
0.085	7050	-804496.80955806
0.085	7100	-804492.884129015
0.085	7150	-804488.999163556
0.085	7200	-804485.153996647
0.085	7250	-804481.347978529
0.085	7300	-804477.580474291
0.085	7350	-804473.850863408
0.085	7400	-804470.158539388
0.085	7450	-804466.5029093
0.085	7500	-804462.883393399
0.085	7550	-804459.299424768
0.085	7600	-804455.750448925
0.085	7650	-804452.235923498
0.085	7700	-804448.755317873
0.085	7750	-804445.308112872
0.085	7800	-804441.89380041
0.085	7850	-804438.511883241
0.085	7900	-804435.161874601
0.085	7950	-804431.843297971
0.085	8000	-804428.555686783
0.085	8050	-804425.298584141
0.085	8100	-804422.071542586
0.085	8150	-804418.874123828
0.085	8200	-804415.705898499
0.085	8250	-804412.566445953
0.085	8300	-804409.455353988
0.085	8350	-804406.372218675
0.085	8400	-804403.31664412
0.085	8450	-804400.288242258
0.085	8500	-804397.286632671
0.085	8550	-804394.311442356
0.085	8600	-804391.362305589
0.085	8650	-804388.438863727
0.085	8700	-804385.540764978
0.085	8750	-804382.667664324
0.085	8800	-804379.81922329
0.085	8850	-804376.99510979
0.085	8900	-804374.19499801
0.085	8950	-804371.418568204
0.085	9000	-804368.665506579
0.085	9050	-804365.935505152
0.085	9100	-804363.228261612
0.085	9150	-804360.543479172
0.085	9200	-804357.880866449
0.085	9250	-804355.240137324
0.085	9300	-804352.621010854
0.085	9350	-804350.023211117
0.085	9400	-804347.446467121
0.085	9450	-804344.890512649
0.085	9500	-804342.355086214
0.085	9550	-804339.839930894
0.085	9600	-804337.344794267
0.085	9650	-804334.869428282
0.085	9700	-804332.413589201
0.085	9750	-804329.977037446
0.085	9800	-804327.559537546
0.085	9850	-804325.160858053
0.085	9900	-804322.780771427
0.085	9950	-804320.419053971
0.085	10000	-804318.07548573
0.085	10050	-804315.749850435
0.085	10100	-804313.441935396
0.085	10150	-804311.151531446
0.085	10200	-804308.87843286
0.085	10250	-804306.622437266
0.085	10300	-804304.383345629
0.085	10350	-804302.160962087
0.085	10400	-804299.955093982
0.085	10450	-804297.765551739
0.085	10500	-804295.592148809
0.085	10550	-804293.43470161
0.085	10600	-804291.293029486
0.085	10650	-804289.166954613
0.085	10700	-804287.05630197
0.085	10750	-804284.960899253
0.085	10800	-804282.880576856
0.085	10850	-804280.815167798
0.085	10900	-804278.764507659
0.085	10950	-804276.728434558
0.085	11000	-804274.70678909
0.085	11050	-804272.69941425
0.085	11100	-804270.706155432
0.085	11150	-804268.726860359
0.085	11200	-804266.761379029
0.085	11250	-804264.809563692
0.085	11300	-804262.871268797
0.085	11350	-804260.946350947
0.085	11400	-804259.034668858
0.085	11450	-804257.136083329
0.085	11500	-804255.250457186
0.085	11550	-804253.377655267
0.085	11600	-804251.517544341
0.085	11650	-804249.669993148
0.085	11700	-804247.834872272
0.085	11750	-804246.012054176
0.085	11800	-804244.201413131
0.085	11850	-804242.402825204
0.085	11900	-804240.616168205
0.085	11950	-804238.84132167
0.085	12000	-804237.078166833
0.09	50	-810642.577288762
0.09	100	-809217.575390744
0.09	150	-808451.419766905
0.09	200	-807942.184157094
0.09	250	-807567.76110055
0.09	300	-807275.458477699
0.09	350	-807037.97450284
0.09	400	-806839.437911219
0.09	450	-806669.856001834
0.09	500	-806522.556051181
0.09	550	-806392.875890056
0.09	600	-806277.438761668
0.09	650	-806173.726171524
0.09	700	-806079.813437725
0.09	750	-805994.1991177
0.09	800	-805915.691134894
0.09	850	-805843.328496902
0.09	900	-805776.326102978
0.09	950	-805714.03496364
0.09	1000	-805655.91296735
0.09	1050	-805601.503025389
0.09	1100	-805550.416479874
0.09	1150	-805502.320332553
0.09	1200	-805456.927291202
0.09	1250	-805413.987923616
0.09	1300	-805373.284408804
0.09	1350	-805334.625512919
0.09	1400	-805297.842514588
0.09	1450	-805262.785873616
0.09	1500	-805229.322487134
0.09	1550	-805197.333413983
0.09	1600	-805166.711975289
0.09	1650	-805137.362159488
0.09	1700	-805109.19727545
0.09	1750	-805082.138809319
0.09	1800	-805056.1154491
0.09	1850	-805031.06224894
0.09	1900	-805006.919909549
