"","V1","V2","likelihood_estimates"
"1778",0.18,1170,-4873067.36048424
"1779",0.18,1185,-4874218.68768938
"1780",0.18,1200,-4875356.02510287
"1781",0.18,1215,-4876479.71126975
"1782",0.18,1230,-4877590.07254504
"1783",0.18,1245,-4878687.42367304
"1784",0.18,1260,-4879772.06833372
"1785",0.18,1275,-4880844.29965592
"1786",0.18,1290,-4881904.40070249
"1787",0.18,1305,-4882952.64492636
"1788",0.18,1320,-4883989.29660255
"1789",0.18,1335,-4885014.6112348
"1790",0.18,1350,-4886028.83594055
"1791",0.18,1365,-4887032.20981523
"1792",0.18,1380,-4888024.96427575
"1793",0.18,1395,-4889007.32338761
"1794",0.18,1410,-4889979.50417308
"1795",0.18,1425,-4890941.71690458
"1796",0.18,1440,-4891894.16538125
"1797",0.18,1455,-4892837.04719436
"1798",0.18,1470,-4893770.5539758
"1799",0.18,1485,-4894694.87163662
"1800",0.18,1500,-4895610.18059347
"1801",0.19,15,-4544501.75380066
"1802",0.19,30,-4586609.15680185
"1803",0.19,45,-4614704.54181179
"1804",0.19,60,-4635952.07097081
"1805",0.19,75,-4653102.06795948
"1806",0.19,90,-4667510.93421321
"1807",0.19,105,-4679951.44402071
"1808",0.19,120,-4690907.23571852
"1809",0.19,135,-4700701.75620766
"1810",0.19,150,-4709562.29983462
"1811",0.19,165,-4717654.85348198
"1812",0.19,180,-4725104.42095439
"1813",0.19,195,-4732007.54552818
"1814",0.19,210,-4738440.37590543
"1815",0.19,225,-4744464.05621507
"1816",0.19,240,-4750128.44116427
"1817",0.19,255,-4755474.72547663
"1818",0.19,270,-4760537.34801894
"1819",0.19,285,-4765345.39856671
"1820",0.19,300,-4769923.67562748
"1821",0.19,315,-4774293.49444813
"1822",0.19,330,-4778473.31292689
"1823",0.19,345,-4782479.22262941
"1824",0.19,360,-4786325.33841367
"1825",0.19,375,-4790024.11083041
"1826",0.19,390,-4793586.57899633
"1827",0.19,405,-4797022.57707469
"1828",0.19,420,-4800340.90423169
"1829",0.19,435,-4803549.46557021
"1830",0.19,450,-4806655.38980153
"1831",0.19,465,-4809665.12812309
"1832",0.19,480,-4812584.53779921
"1833",0.19,495,-4815418.95320519
"1834",0.19,510,-4818173.24652647
"1835",0.19,525,-4820851.87987784
"1836",0.19,540,-4823458.95025533
"1837",0.19,555,-4825998.22847671
"1838",0.19,570,-4828473.19305277
"1839",0.19,585,-4830887.0597595
"1840",0.19,600,-4833242.80755408
"1841",0.19,615,-4835543.20136362
"1842",0.19,630,-4837790.81218901
"1843",0.19,645,-4839988.03489736
"1844",0.19,660,-4842137.10401304
"1845",0.19,675,-4844240.10777429
"1846",0.19,690,-4846299.00067779
"1847",0.19,705,-4848315.61470351
"1848",0.19,720,-4850291.66938257
"1849",0.19,735,-4852228.78085014
"1850",0.19,750,-4854128.47000188
"1851",0.19,765,-4855992.16986027
"1852",0.19,780,-4857821.23224007
"1853",0.19,795,-4859616.93379226
"1854",0.19,810,-4861380.48149433
"1855",0.19,825,-4863113.01764736
"1856",0.19,840,-4864815.62443117
"1857",0.19,855,-4866489.32806553
"1858",0.19,870,-4868135.10261518
"1859",0.19,885,-4869753.87347777
"1860",0.19,900,-4871346.52058277
"1861",0.19,915,-4872913.88133219
"1862",0.19,930,-4874456.7533059
"1863",0.19,945,-4875975.89675599
"1864",0.19,960,-4877472.03690692
"1865",0.19,975,-4878945.86608218
"1866",0.19,990,-4880398.04566994
"1867",0.19,1005,-4881829.20794579
"1868",0.19,1020,-4883239.95776085
"1869",0.19,1035,-4884630.87411072
"1870",0.19,1050,-4886002.51159219
"1871",0.19,1065,-4887355.40175964
"1872",0.19,1080,-4888690.05438718
"1873",0.19,1095,-4890006.95864677
"1874",0.19,1110,-4891306.58420633
"1875",0.19,1125,-4892589.38225556
"1876",0.19,1140,-4893855.78646632
"1877",0.19,1155,-4895106.21388984
"1878",0.19,1170,-4896341.06579767
"1879",0.19,1185,-4897560.72847024
"1880",0.19,1200,-4898765.57393634
"1881",0.19,1215,-4899955.96066712
"1882",0.19,1230,-4901132.23422966
"1883",0.19,1245,-4902294.7278997
"1884",0.19,1260,-4903443.76323947
"1885",0.19,1275,-4904579.65064228
"1886",0.19,1290,-4905702.68984405
"1887",0.19,1305,-4906813.17040814
"1888",0.19,1320,-4907911.37218057
"1889",0.19,1335,-4908997.56572207
"1890",0.19,1350,-4910072.01271481
"1891",0.19,1365,-4911134.9663475
"1892",0.19,1380,-4912186.67168052
"1893",0.19,1395,-4913227.36599046
"1894",0.19,1410,-4914257.27909759
"1895",0.19,1425,-4915276.6336752
"1896",0.19,1440,-4916285.645544
"1897",0.19,1455,-4917284.52395113
"1898",0.19,1470,-4918273.47183496
"1899",0.19,1485,-4919252.68607655
"1900",0.19,1500,-4920222.3577392
"1901",0.2,15,-4548335.49168406
"1902",0.2,30,-4592785.84781162
"1903",0.2,45,-4622431.23926097
"1904",0.2,60,-4644849.45760584
"1905",0.2,75,-4662944.64994016
"1906",0.2,90,-4678148.22476755
"1907",0.2,105,-4691275.47411977
"1908",0.2,120,-4702836.58002075
"1909",0.2,135,-4713172.7187881
"1910",0.2,150,-4722523.63576767
"1911",0.2,165,-4731064.4078721
"1912",0.2,180,-4738926.88401097
"1913",0.2,195,-4746212.89434348
"1914",0.2,210,-4753002.75815634
"1915",0.2,225,-4759360.96900645
"1916",0.2,240,-4765340.11322434
"1917",0.2,255,-4770983.64324295
"1918",0.2,270,-4776327.8859071
"1919",0.2,285,-4781403.52620199
"1920",0.2,300,-4786236.7229473
"1921",0.2,315,-4790849.96100708
"1922",0.2,330,-4795262.71144381
"1923",0.2,345,-4799491.9493986
"1924",0.2,360,-4803552.56503275
"1925",0.2,375,-4807457.69302201
"1926",0.2,390,-4811218.97926714
"1927",0.2,405,-4814846.79867483
"1928",0.2,420,-4818350.43441573
"1929",0.2,435,-4821738.22657336
"1930",0.2,450,-4825017.69625744
"1931",0.2,465,-4828195.64989597
"1932",0.2,480,-4831278.26739257
"1933",0.2,495,-4834271.17706148
"1934",0.2,510,-4837179.51965298
"1935",0.2,525,-4840008.00332678
"1936",0.2,540,-4842760.95106727
"1937",0.2,555,-4845442.3417594
"1938",0.2,570,-4848055.84591544
"1939",0.2,585,-4850604.85686912
"1940",0.2,600,-4853092.51811276
"1941",0.2,615,-4855521.747336
"1942",0.2,630,-4857895.25763249
"1943",0.2,645,-4860215.57626856
"1944",0.2,660,-4862485.06134123
"1945",0.2,675,-4864705.91660612
"1946",0.2,690,-4866880.2047109
"1947",0.2,705,-4869009.85903667
"1948",0.2,720,-4871096.69431882
"1949",0.2,735,-4873142.41619747
"1950",0.2,750,-4875148.62982175
"1951",0.2,765,-4877116.84762141
"1952",0.2,780,-4879048.49633846
"1953",0.2,795,-4880944.9234036
"1954",0.2,810,-4882807.40272891
"1955",0.2,825,-4884637.13997884
"1956",0.2,840,-4886435.27737712
"1957",0.2,855,-4888202.89809581
"1958",0.2,870,-4889941.03027132
"1959",0.2,885,-4891650.650683
"1960",0.2,900,-4893332.68812897
"1961",0.2,915,-4894988.02652828
"1962",0.2,930,-4896617.5077763
"1963",0.2,945,-4898221.93437562
"1964",0.2,960,-4899802.07186309
"1965",0.2,975,-4901358.65105387
"1966",0.2,990,-4902892.37011618
"1967",0.2,1005,-4904403.896493
"1968",0.2,1020,-4905893.86868508
"1969",0.2,1035,-4907362.89790489
"1970",0.2,1050,-4908811.56961496
"1971",0.2,1065,-4910240.44495832
"1972",0.2,1080,-4911650.0620911
"1973",0.2,1095,-4913040.93742487
"1974",0.2,1110,-4914413.56678544
"1975",0.2,1125,-4915768.42649708
"1976",0.2,1140,-4917105.97439307
"1977",0.2,1155,-4918426.65076493
"1978",0.2,1170,-4919730.87924877
"1979",0.2,1185,-4921019.06765737
"1980",0.2,1200,-4922291.60876105
"1981",0.2,1215,-4923548.88101994
"1982",0.2,1230,-4924791.24927344
"1983",0.2,1245,-4926019.06538683
"1984",0.2,1260,-4927232.66886179
"1985",0.2,1275,-4928432.38740975
"1986",0.2,1290,-4929618.53749349
"1987",0.2,1305,-4930791.4248372
"1988",0.2,1320,-4931951.34490808
"1989",0.2,1335,-4933098.58337146
"1990",0.2,1350,-4934233.41652065
"1991",0.2,1365,-4935356.1116834
"1992",0.2,1380,-4936466.92760659
"1993",0.2,1395,-4937566.11482086
"1994",0.2,1410,-4938653.91598502
"1995",0.2,1425,-4939730.56621372
"1996",0.2,1440,-4940796.29338772
"1997",0.2,1455,-4941851.31844789
"1998",0.2,1470,-4942895.85567549
"1999",0.2,1485,-4943930.11295724
"2000",0.2,1500,-4944954.29203786
"2001",0.21,15,-4552224.48953173
"2002",0.21,30,-4599026.88629135
"2003",0.21,45,-4630226.93116338
"2004",0.21,60,-4653819.0365056
"2005",0.21,75,-4672861.89642876
"2006",0.21,90,-4688862.2095725
"2007",0.21,105,-4702677.92754185
"2008",0.21,120,-4714845.85817916
"2009",0.21,135,-4725724.95937739
"2010",0.21,150,-4735567.4627754
"2011",0.21,165,-4744557.56033279
"2012",0.21,180,-4752833.96444294
"2013",0.21,195,-4760503.8060413
"2014",0.21,210,-4767651.58575368
"2015",0.21,225,-4774345.15505607
"2016",0.21,240,-4780639.8387241
"2017",0.21,255,-4786581.35246239
"2018",0.21,270,-4792207.91569041
"2019",0.21,285,-4797551.81244698
"2020",0.21,300,-4802640.56511155
"2021",0.21,315,-4807497.83093736
"2022",0.21,330,-4812144.09653683
"2023",0.21,345,-4816597.2226959
"2024",0.21,360,-4820872.87668766
"2025",0.21,375,-4824984.87890365
"2026",0.21,390,-4828945.48343653
"2027",0.21,405,-4832765.60718918
"2028",0.21,420,-4836455.01845778
"2029",0.21,435,-4840022.49331357
"2030",0.21,450,-4843475.94617401
"2031",0.21,465,-4846822.53952176
"2032",0.21,480,-4850068.77664977
"2033",0.21,495,-4853220.58049614
"2034",0.21,510,-4856283.36100269
"2035",0.21,525,-4859262.07295008
"2036",0.21,540,-4862161.26584249
"2037",0.21,555,-4864985.12712229
"2038",0.21,570,-4867737.51975706
"2039",0.21,585,-4870422.01505997
"2040",0.21,600,-4873041.92145111
"2041",0.21,615,-4875600.30974749
"2042",0.21,630,-4878100.03547729
"2043",0.21,645,-4880543.75862555
"2044",0.21,660,-4882933.96116129
"2045",0.21,675,-4885272.96263861
"2046",0.21,690,-4887562.93412042
"2047",0.21,705,-4889805.91063783
"2048",0.21,720,-4892003.80236537
"2049",0.21,735,-4894158.40466902
"2050",0.21,750,-4896271.40716141
"2051",0.21,765,-4898344.40187739
"2052",0.21,780,-4900378.89067427
"2053",0.21,795,-4902376.29194075
"2054",0.21,810,-4904337.94669205
"2055",0.21,825,-4906265.12411728
"2056",0.21,840,-4908159.02663643
"2057",0.21,855,-4910020.79452041
"2058",0.21,870,-4911851.51011536
"2059",0.21,885,-4913652.20171498
"2060",0.21,900,-4915423.84711211
"2061",0.21,915,-4917167.37686436
"2062",0.21,930,-4918883.6772974
"2063",0.21,945,-4920573.59327457
"2064",0.21,960,-4922237.93075139
"2065",0.21,975,-4923877.45913582
"2066",0.21,990,-4925492.91347304
"2067",0.21,1005,-4927084.99646694
"2068",0.21,1020,-4928654.38035695
"2069",0.21,1035,-4930201.70865857
"2070",0.21,1050,-4931727.59778249
"2071",0.21,1065,-4933232.63853988
"2072",0.21,1080,-4934717.39754491
"2073",0.21,1095,-4936182.41852239
"2074",0.21,1110,-4937628.22352741
"2075",0.21,1125,-4939055.31408553
"2076",0.21,1140,-4940464.17225842
"2077",0.21,1155,-4941855.26164073
"2078",0.21,1170,-4943229.028294
"2079",0.21,1185,-4944585.90162291
"2080",0.21,1200,-4945926.29519604
"2081",0.21,1215,-4947250.60751754
"2082",0.21,1230,-4948559.2227521
"2083",0.21,1245,-4949852.51140628
"2084",0.21,1260,-4951130.8309705
"2085",0.21,1275,-4952394.52652287
"2086",0.21,1290,-4953643.93129904
"2087",0.21,1305,-4954879.3672295
"2088",0.21,1320,-4956101.14544602
"2089",0.21,1335,-4957309.56676093
"2090",0.21,1350,-4958504.92211993
"2091",0.21,1365,-4959687.49302896
"2092",0.21,1380,-4960857.55196032
"2093",0.21,1395,-4962015.36273578
"2094",0.21,1410,-4963161.18088922
"2095",0.21,1425,-4964295.25401169
"2096",0.21,1440,-4965417.82207814
"2097",0.21,1455,-4966529.11775646
"2098",0.21,1470,-4967629.36670291
"2099",0.21,1485,-4968718.78784104
"2100",0.21,1500,-4969797.59362774
"2101",0.22,15,-4556167.4745333
"2102",0.22,30,-4605330.51684942
"2103",0.22,45,-4638089.51675012
"2104",0.22,60,-4662858.42279348
"2105",0.22,75,-4682851.1763133
"2106",0.22,90,-4699650.03822027
"2107",0.22,105,-4714155.75525924
"2108",0.22,120,-4726931.83916537
"2109",0.22,135,-4738355.07872215
"2110",0.22,150,-4748690.22505141
"2111",0.22,165,-4758130.60855759
"2112",0.22,180,-4766821.82221366
"2113",0.22,195,-4774876.31058542
"2114",0.22,210,-4782382.76553414
"2115",0.22,225,-4789412.40422909
"2116",0.22,240,-4796023.29610406
"2117",0.22,255,-4802263.42517788
"2118",0.22,270,-4808172.90759184
"2119",0.22,285,-4813785.62989099
"2120",0.22,300,-4819130.48092114
"2121",0.22,315,-4824232.29279367
"2122",0.22,330,-4829112.56978976
"2123",0.22,345,-4833790.0601714
"2124",0.22,360,-4838281.20991941
"2125",0.22,375,-4842600.52654027
"2126",0.22,390,-4846760.8735543
"2127",0.22,405,-4850773.71095757
"2128",0.22,420,-4854649.29315073
"2129",0.22,435,-4858396.8330714
"2130",0.22,450,-4862024.6392365
"2131",0.22,465,-4865540.23089981
"2132",0.22,480,-4868950.43539455
"2133",0.22,495,-4872261.47087656
"2134",0.22,510,-4875479.0170225
"2135",0.22,525,-4878608.27573279
"2136",0.22,540,-4881654.02349028
"2137",0.22,555,-4884620.65671849
"2138",0.22,570,-4887512.23123302
"2139",0.22,585,-4890332.49669065
"2140",0.22,600,-4893084.92677691
"2141",0.22,615,-4895772.74575256
"2142",0.22,630,-4898398.95187456
"2143",0.22,645,-4900966.33812192
"2144",0.22,660,-4903477.51059407
"2145",0.22,675,-4905934.90488595
"2146",0.22,690,-4908340.8007036
"2147",0.22,705,-4910697.33494282
"2148",0.22,720,-4913006.51341918
"2149",0.22,735,-4915270.22141652
"2150",0.22,750,-4917490.23319053
"2151",0.22,765,-4919668.22055276
"2152",0.22,780,-4921805.76063738
"2153",0.22,795,-4923904.34294506
"2154",0.22,810,-4925965.37574007
"2155",0.22,825,-4927990.19187469
"2156",0.22,840,-4929980.05409778
"2157",0.22,855,-4931936.159904
"2158",0.22,870,-4933859.64596962
"2159",0.22,885,-4935751.59221662
"2160",0.22,900,-4937613.0255422
"2161",0.22,915,-4939444.92324631
"2162",0.22,930,-4941248.21618508
"2163",0.22,945,-4943023.7916781
"2164",0.22,960,-4944772.49619048
"2165",0.22,975,-4946495.13781123
"2166",0.22,990,-4948192.48854593
"2167",0.22,1005,-4949865.28644006
"2168",0.22,1020,-4951514.23754921
"2169",0.22,1035,-4953140.01776614
"2170",0.22,1050,-4954743.27452131
"2171",0.22,1065,-4956324.62836247
"2172",0.22,1080,-4957884.67442792
"2173",0.22,1095,-4959423.98381929
"2174",0.22,1110,-4960943.10488226
"2175",0.22,1125,-4962442.56440316
"2176",0.22,1140,-4963922.86872827
"2177",0.22,1155,-4965384.50481056
"2178",0.22,1170,-4966827.94119024
"2179",0.22,1185,-4968253.62891455
"2180",0.22,1200,-4969662.00239979
"2181",0.22,1215,-4971053.48024202
"2182",0.22,1230,-4972428.46597726
"2183",0.22,1245,-4973787.34879776
"2184",0.22,1260,-4975130.50422581
"2185",0.22,1275,-4976458.29474813
"2186",0.22,1290,-4977771.07041364
"2187",0.22,1305,-4979069.16939797
"2188",0.22,1320,-4980352.91853545
"2189",0.22,1335,-4981622.63382225
"2190",0.22,1350,-4982878.62089145
"2191",0.22,1365,-4984121.17546229
"2192",0.22,1380,-4985350.58376577
"2193",0.22,1395,-4986567.12294684
"2194",0.22,1410,-4987771.06144641
"2195",0.22,1425,-4988962.65936246
"2196",0.22,1440,-4990142.16879334
"2197",0.22,1455,-4991309.83416309
"2198",0.22,1470,-4992465.89253097
"2199",0.22,1485,-4993610.57388443
"2200",0.22,1500,-4994744.10141912
"2201",0.23,15,-4560163.21544442
"2202",0.23,30,-4611695.02993443
"2203",0.23,45,-4646016.94322324
"2204",0.23,60,-4671965.28165617
"2205",0.23,75,-4692909.91080669
"2206",0.23,90,-4710508.91504205
"2207",0.23,105,-4725705.96550315
"2208",0.23,120,-4739091.35180033
"2209",0.23,135,-4751059.74005159
"2210",0.23,150,-4761888.43192661
"2211",0.23,165,-4771779.91803938
"2212",0.23,180,-4780886.68774409
"2213",0.23,195,-4789326.51104359
"2214",0.23,210,-4797192.28006775
"2215",0.23,225,-4804558.58473061
"2216",0.23,240,-4811486.24472671
"2217",0.23,255,-4818025.51690871
"2218",0.23,270,-4824218.41783637
"2219",0.23,285,-4830100.43962176
"2220",0.23,300,-4835701.84013934
"2221",0.23,315,-4841048.62852721
"2222",0.23,330,-4846163.32858548
"2223",0.23,345,-4851065.57764607
"2224",0.23,360,-4855772.6017797
"2225",0.23,375,-4860299.59681728
"2226",0.23,390,-4864660.03676991
"2227",0.23,405,-4868865.92566808
"2228",0.23,420,-4872928.00485508
"2229",0.23,435,-4876855.92488523
"2230",0.23,450,-4880658.38904953
"2231",0.23,465,-4884343.27398214
"2232",0.23,480,-4887917.73160916
"2233",0.23,495,-4891388.27580762
"2234",0.23,510,-4894760.8564489
"2235",0.23,525,-4898040.92297515
"2236",0.23,540,-4901233.47923604
"2237",0.23,555,-4904343.13099373
"2238",0.23,570,-4907374.12724313
"2239",0.23,585,-4910330.39629154
"2240",0.23,600,-4913215.57737539
"2241",0.23,615,-4916033.0484649
"2242",0.23,630,-4918785.95079374
"2243",0.23,645,-4921477.21056762
"2244",0.23,660,-4924109.55823332
"2245",0.23,675,-4926685.54563069
"2246",0.23,690,-4929207.56130146
"2247",0.23,705,-4931677.8441862
"2248",0.23,720,-4934098.49591263
"2249",0.23,735,-4936471.49184258
"2250",0.23,750,-4938798.69102755
"2251",0.23,765,-4941081.84519975
"2252",0.23,780,-4943322.606907
"2253",0.23,795,-4945522.53689106
"2254",0.23,810,-4947683.11078876
"2255",0.23,825,-4949805.72523244
"2256",0.23,840,-4951891.70341106
"2257",0.23,855,-4953942.3001496
"2258",0.23,870,-4955958.70655505
"2259",0.23,885,-4957942.05427507
"2260",0.23,900,-4959893.41940288
"2261",0.23,915,-4961813.82606912
"2262",0.23,930,-4963704.24974441
"2263",0.23,945,-4965565.6202857
"2264",0.23,960,-4967398.82474511
"2265",0.23,975,-4969204.70996633
"2266",0.23,990,-4970984.08498666
"2267",0.23,1005,-4972737.72326188
"2268",0.23,1020,-4974466.36472865
"2269",0.23,1035,-4976170.71772032
"2270",0.23,1050,-4977851.46074728
"2271",0.23,1065,-4979509.24415239
"2272",0.23,1080,-4981144.69165423
"2273",0.23,1095,-4982758.4017852
"2274",0.23,1110,-4984350.94923328
"2275",0.23,1125,-4985922.88609592
"2276",0.23,1140,-4987474.74305216
"2277",0.23,1155,-4989007.03045995
"2278",0.23,1170,-4990520.23938326
"2279",0.23,1185,-4992014.84255526
"2280",0.23,1200,-4993491.29528229
"2281",0.23,1215,-4994950.03629214
"2282",0.23,1230,-4996391.4885318
"2283",0.23,1245,-4997816.05991732
"2284",0.23,1260,-4999224.14403928
"2285",0.23,1275,-5000616.1208285
"2286",0.23,1290,-5001992.35718142
"2287",0.23,1305,-5003353.20755234
"2288",0.23,1320,-5004699.01451019
"2289",0.23,1335,-5006030.10926639
"2290",0.23,1350,-5007346.81217159
"2291",0.23,1365,-5008649.43318758
"2292",0.23,1380,-5009938.2723325
"2293",0.23,1395,-5011213.62010272
"2294",0.23,1410,-5012475.75787226
"2295",0.23,1425,-5013724.95827221
"2296",0.23,1440,-5014961.48555
"2297",0.23,1455,-5016185.59591015
"2298",0.23,1470,-5017397.5378388
"2299",0.23,1485,-5018597.55241051
"2300",0.23,1500,-5019785.87358207
"2301",0.24,15,-4564210.52023405
"2302",0.24,30,-4618118.75932847
"2303",0.24,45,-4654007.20333772
"2304",0.24,60,-4681137.32604352
"2305",0.24,75,-4703035.5712501
"2306",0.24,90,-4721436.09698804
"2307",0.24,105,-4737325.62170056
"2308",0.24,120,-4751321.28272666
"2309",0.24,135,-4763835.66706808
"2310",0.24,150,-4775158.65586472
"2311",0.24,165,-4785501.920057
"2312",0.24,180,-4795024.85988014
"2313",0.24,195,-4803850.58152634
"2314",0.24,210,-4812076.18555927
"2315",0.24,225,-4819779.64096457
"2316",0.24,240,-4827024.52268646
"2317",0.24,255,-4833863.36440702
"2318",0.24,270,-4840340.08634894
"2319",0.24,285,-4846491.7888597
"2320",0.24,300,-4852350.10106224
"2321",0.24,315,-4857942.21098672
"2322",0.24,330,-4863291.66353554
"2323",0.24,345,-4868418.98646648
"2324",0.24,360,-4873342.18711112
"2325",0.24,375,-4878077.15064212
"2326",0.24,390,-4882637.96245376
"2327",0.24,405,-4887037.17139758
"2328",0.24,420,-4891286.0064576
"2329",0.24,435,-4895394.55642626
"2330",0.24,450,-4899371.91992717
"2331",0.24,465,-4903226.33147756
"2332",0.24,480,-4906965.26805198
"2333",0.24,495,-4910595.53966205
"2334",0.24,510,-4914123.36675114
"2335",0.24,525,-4917554.44664851
"2336",0.24,540,-4920894.01088805
"2337",0.24,555,-4924146.87486358
"2338",0.24,570,-4927317.48101958
"2339",0.24,585,-4930409.93656363
"2340",0.24,600,-4933428.04651654
"2341",0.24,615,-4936375.34277463
"2342",0.24,630,-4939255.10975044
"2343",0.24,645,-4942070.40706533
"2344",0.24,660,-4944824.08969103
"2345",0.24,675,-4947518.82587901
"2346",0.24,690,-4950157.11316226
"2347",0.24,705,-4952741.29267429
"2348",0.24,720,-4955273.56199336
"2349",0.24,735,-4957755.98669113
"2350",0.24,750,-4960190.51073898
"2351",0.24,765,-4962578.96590713
"2352",0.24,780,-4964923.08026894
"2353",0.24,795,-4967224.48591277
"2354",0.24,810,-4969484.72594889
"2355",0.24,825,-4971705.26088554
"2356",0.24,840,-4973887.47444283
"2357",0.24,855,-4976032.67886255
"2358",0.24,870,-4978142.11976616
"2359",0.24,885,-4980216.98060529
"2360",0.24,900,-4982258.38674522
"2361",0.24,915,-4984267.40921942
"2362",0.24,930,-4986245.06818277
"2363",0.24,945,-4988192.3360953
"2364",0.24,960,-4990110.14065959
"2365",0.24,975,-4991999.36753553
"2366",0.24,990,-4993860.86285053
"2367",0.24,1005,-4995695.43552629
"2368",0.24,1020,-4997503.85943493
"2369",0.24,1035,-4999286.87540229
"2370",0.24,1050,-5001045.19306844
"2371",0.24,1065,-5002779.49261945
"2372",0.24,1080,-5004490.42640044
"2373",0.24,1095,-5006178.62041871
"2374",0.24,1110,-5007844.67574802
"2375",0.24,1125,-5009489.16983781
"2376",0.24,1140,-5011112.65774047
"2377",0.24,1155,-5012715.67325728
"2378",0.24,1170,-5014298.73001272
"2379",0.24,1185,-5015862.32246221
"2380",0.24,1200,-5017406.92683675
"2381",0.24,1215,-5018933.00202962
"2382",0.24,1230,-5020440.9904312
"2383",0.24,1245,-5021931.3187124
"2384",0.24,1260,-5023404.39856318
"2385",0.24,1275,-5024860.62738712
"2386",0.24,1290,-5026300.3889573
"2387",0.24,1305,-5027724.05403384
"2388",0.24,1320,-5029131.98094746
"2389",0.24,1335,-5030524.51615015
"2390",0.24,1350,-5031901.99473603
"2391",0.24,1365,-5033264.74093358
"2392",0.24,1380,-5034613.06857171
"2393",0.24,1395,-5035947.2815207
"2394",0.24,1410,-5037267.67411069
"2395",0.24,1425,-5038574.53152728
"2396",0.24,1440,-5039868.1301878
"2397",0.24,1455,-5041148.738098
"2398",0.24,1470,-5042416.61519049
"2399",0.24,1485,-5043672.01364661
"2400",0.24,1500,-5044915.17820263
"2401",0.25,15,-4568308.23388056
"2402",0.25,30,-4624600.07980757
"2403",0.25,45,-4662058.33315255
"2404",0.25,60,-4690372.3145288
"2405",0.25,75,-4713225.67706386
"2406",0.25,90,-4732428.89164774
"2407",0.25,105,-4749011.8405396
"2408",0.25,120,-4763618.57450212
"2409",0.25,135,-4776679.64205065
"2410",0.25,150,-4788497.53056069
"2411",0.25,165,-4799293.10975927
"2412",0.25,180,-4809232.70395106
"2413",0.25,195,-4818444.76521217
"2414",0.25,210,-4827030.6098332
"2415",0.25,225,-4835071.59147125
"2416",0.25,240,-4842634.04469422
"2417",0.25,255,-4849772.78348392
"2418",0.25,270,-4856533.63451923
"2419",0.25,285,-4862955.30865848
"2420",0.25,300,-4869070.80814947
"2421",0.25,315,-4874908.50147856
"2422",0.25,330,-4880492.95596705
"2423",0.25,345,-4885845.59091705
"2424",0.25,360,-4890985.19587959
"2425",0.25,375,-4895928.34619856
"2426",0.25,390,-4900689.73937199
"2427",0.25,405,-4905282.46970479
"2428",0.25,420,-4909718.25437942
"2429",0.25,435,-4914007.62092273
"2430",0.25,450,-4918160.0637327
"2431",0.25,465,-4922184.175607
"2432",0.25,480,-4926087.75892664
"2433",0.25,495,-4929877.92016217
"2434",0.25,510,-4933561.15062494
"2435",0.25,525,-4937143.39580107
"2436",0.25,540,-4940630.11515633
"2437",0.25,555,-4944026.33394356
"2438",0.25,570,-4947336.68826703
"2439",0.25,585,-4950565.46443002
"2440",0.25,600,-4953716.63341807
"2441",0.25,615,-4956793.88122141
"2442",0.25,630,-4959800.6355891
"2443",0.25,645,-4962740.08970476
"2444",0.25,660,-4965615.22320263
"2445",0.25,675,-4968428.82087455
"2446",0.25,690,-4971183.48936687
"2447",0.25,705,-4973881.67212022
"2448",0.25,720,-4976525.66277154
"2449",0.25,735,-4979117.61720423
"2450",0.25,750,-4981659.56440639
"2451",0.25,765,-4984153.41627775
"2452",0.25,780,-4986600.97650386
"2453",0.25,795,-4989003.94860298
"2454",0.25,810,-4991363.94323689
"2455",0.25,825,-4993682.48486427
"2456",0.25,840,-4995961.0178079
"2457",0.25,855,-4998200.91179477
"2458",0.25,870,-5000403.46702509
"2459",0.25,885,-5002569.91881671
"2460",0.25,900,-5004701.44186666
"2461",0.25,915,-5006799.15416773
"2462",0.25,930,-5008864.12061322
"2463",0.25,945,-5010897.35631888
"2464",0.25,960,-5012899.8296879
"2465",0.25,975,-5014872.46524383
"2466",0.25,990,-5016816.14625062
"2467",0.25,1005,-5018731.71714007
"2468",0.25,1020,-5020619.98576281
"2469",0.25,1035,-5022481.72547762
"2470",0.25,1050,-5024317.67709414
"2471",0.25,1065,-5026128.55067952
"2472",0.25,1080,-5027915.02724196
"2473",0.25,1095,-5029677.76029964
"2474",0.25,1110,-5031417.37734523
"2475",0.25,1125,-5033134.4812139
"2476",0.25,1140,-5034829.65136246
"2477",0.25,1155,-5036503.44506619
"2478",0.25,1170,-5038156.3985405
"2479",0.25,1185,-5039789.02799113
"2480",0.25,1200,-5041401.83060105
"2481",0.25,1215,-5042995.2854567
"2482",0.25,1230,-5044569.85441705
"2483",0.25,1245,-5046125.98293338
"2484",0.25,1260,-5047664.10081881
"2485",0.25,1275,-5049184.62297379
"2486",0.25,1290,-5050687.9500705
"2487",0.25,1305,-5052174.46919723
"2488",0.25,1320,-5053644.55446768
"2489",0.25,1335,-5055098.56759545
"2490",0.25,1350,-5056536.85843786
"2491",0.25,1365,-5057959.76550982
"2492",0.25,1380,-5059367.61647015
"2493",0.25,1395,-5060760.72858164
"2494",0.25,1410,-5062139.40914789
"2495",0.25,1425,-5063503.95592689
"2496",0.25,1440,-5064854.65752277
"2497",0.25,1455,-5066191.79375855
"2498",0.25,1470,-5067515.63602943
"2499",0.25,1485,-5068826.44763932
