"","V1","V2","likelihood_estimates"
"122",0.02,330,-4512397.95470279
"123",0.02,345,-4512787.00529057
"124",0.02,360,-4513160.2419023
"125",0.02,375,-4513518.90860159
"126",0.02,390,-4513864.10766462
"127",0.02,405,-4514196.82038694
"128",0.02,420,-4514517.92420181
"129",0.02,435,-4514828.20687179
"130",0.02,450,-4515128.37833148
"131",0.02,465,-4515419.08063464
"132",0.02,480,-4515700.89636054
"133",0.02,495,-4515974.35575443
"134",0.02,510,-4516239.94282723
"135",0.02,525,-4516498.10059008
"136",0.02,540,-4516749.23556794
"137",0.02,555,-4516993.7217057
"138",0.02,570,-4517231.90376799
"139",0.02,585,-4517464.10030307
"140",0.02,600,-4517690.60624101
"141",0.02,615,-4517911.69517586
"142",0.02,630,-4518127.62137977
"143",0.02,645,-4518338.62158447
"144",0.02,660,-4518544.91655976
"145",0.02,675,-4518746.71252136
"146",0.02,690,-4518944.20238341
"147",0.02,705,-4519137.56688178
"148",0.02,720,-4519326.97557921
"149",0.02,735,-4519512.58776831
"150",0.02,750,-4519694.55328813
"151",0.02,765,-4519873.01325672
"152",0.02,780,-4520048.10073782
"153",0.02,795,-4520219.9413423
"154",0.02,810,-4520388.65377556
"155",0.02,825,-4520554.35033642
"156",0.02,840,-4520717.1373687
"157",0.02,855,-4520877.11567827
"158",0.02,870,-4521034.38090906
"159",0.02,885,-4521189.02389163
"160",0.02,900,-4521341.13096064
"161",0.02,915,-4521490.78424779
"162",0.02,930,-4521638.06194991
"163",0.02,945,-4521783.03857736
"164",0.02,960,-4521925.78518219
"165",0.02,975,-4522066.36956906
"166",0.02,990,-4522204.85649067
"167",0.02,1005,-4522341.30782875
"168",0.02,1020,-4522475.78276058
"169",0.02,1035,-4522608.33791578
"170",0.02,1050,-4522739.02751963
"171",0.02,1065,-4522867.90352782
"172",0.02,1080,-4522995.01575198
"173",0.02,1095,-4523120.41197525
"174",0.02,1110,-4523244.13806219
"175",0.02,1125,-4523366.23805881
"176",0.02,1140,-4523486.75428943
"177",0.02,1155,-4523605.72744396
"178",0.02,1170,-4523723.19666114
"179",0.02,1185,-4523839.19960749
"180",0.02,1200,-4523953.77254939
"181",0.02,1215,-4524066.95042191
"182",0.02,1230,-4524178.76689331
"183",0.02,1245,-4524289.25442616
"184",0.02,1260,-4524398.44433303
"185",0.02,1275,-4524506.36683163
"186",0.02,1290,-4524613.05109433
"187",0.02,1305,-4524718.52529623
"188",0.02,1320,-4524822.8166603
"189",0.02,1335,-4524925.95149994
"190",0.02,1350,-4525027.9552584
"191",0.02,1365,-4525128.85254734
"192",0.02,1380,-4525228.66718268
"193",0.02,1395,-4525327.42221863
"194",0.02,1410,-4525425.13997954
"195",0.02,1425,-4525521.84209074
"196",0.02,1440,-4525617.54950714
"197",0.02,1455,-4525712.28254104
"198",0.02,1470,-4525806.06088794
"199",0.02,1485,-4525898.90365095
"200",0.02,1500,-4525990.82936554
"201",0.03,15,-4491925.7412493
"202",0.03,30,-4498195.98557736
"203",0.03,45,-4502411.87900746
"204",0.03,60,-4505600.90395087
"205",0.03,75,-4508171.47157727
"206",0.03,90,-4510327.44526547
"207",0.03,105,-4512185.58500638
"208",0.03,120,-4513819.14476751
"209",0.03,135,-4515277.16929503
"210",0.03,150,-4516594.13673475
"211",0.03,165,-4517795.22485674
"212",0.03,180,-4518899.38978838
"213",0.03,195,-4519921.26565282
"214",0.03,210,-4520872.38924196
"215",0.03,225,-4521762.0188209
"216",0.03,240,-4522597.69865802
"217",0.03,255,-4523385.65861863
"218",0.03,270,-4524131.10352772
"219",0.03,285,-4524838.42692772
"220",0.03,300,-4525511.37178644
"221",0.03,315,-4526153.1532247
"222",0.03,330,-4526766.55356189
"223",0.03,345,-4527353.99685622
"224",0.03,360,-4527917.60803371
"225",0.03,375,-4528459.26028389
"226",0.03,390,-4528980.61341028
"227",0.03,405,-4529483.14513504
"228",0.03,420,-4529968.17685589
"229",0.03,435,-4530436.89499858
"230",0.03,450,-4530890.36883683
"231",0.03,465,-4531329.56546154
"232",0.03,480,-4531755.36242891
"233",0.03,495,-4532168.55850804
"234",0.03,510,-4532569.88285966
"235",0.03,525,-4532960.00291381
"236",0.03,540,-4533339.53116272
"237",0.03,555,-4533709.03104277
"238",0.03,570,-4534069.02204769
"239",0.03,585,-4534419.98419341
"240",0.03,600,-4534762.36192602
"241",0.03,615,-4535096.56756089
"242",0.03,630,-4535422.98431191
"243",0.03,645,-4535741.96897302
"244",0.03,660,-4536053.85429835
"245",0.03,675,-4536358.95111707
"246",0.03,690,-4536657.55022361
"247",0.03,705,-4536949.92406533
"248",0.03,720,-4537236.32825775
"249",0.03,735,-4537517.00294566
"250",0.03,750,-4537792.17402968
"251",0.03,765,-4538062.05427173
"252",0.03,780,-4538326.84429791
"253",0.03,795,-4538586.73350491
"254",0.03,810,-4538841.90088453
"255",0.03,825,-4539092.51577383
"256",0.03,840,-4539338.73853751
"257",0.03,855,-4539580.72119298
"258",0.03,870,-4539818.60797972
"259",0.03,885,-4540052.53588294
"260",0.03,900,-4540282.63511202
"261",0.03,915,-4540509.0295408
"262",0.03,930,-4540731.83711385
"263",0.03,945,-4540951.17021812
"264",0.03,960,-4541167.13602777
"265",0.03,975,-4541379.83682286
"266",0.03,990,-4541589.37028209
"267",0.03,1005,-4541795.82975612
"268",0.03,1020,-4541999.30451972
"269",0.03,1035,-4542199.88000524
"270",0.03,1050,-4542397.63802158
"271",0.03,1065,-4542592.65695546
"272",0.03,1080,-4542785.01196101
"273",0.03,1095,-4542974.77513397
"274",0.03,1110,-4543162.01567664
"275",0.03,1125,-4543346.80005111
"276",0.03,1140,-4543529.19212129
"277",0.03,1155,-4543709.25328761
"278",0.03,1170,-4543887.04261149
"279",0.03,1185,-4544062.61693374
"280",0.03,1200,-4544236.03098418
"281",0.03,1215,-4544407.33748474
"282",0.03,1230,-4544576.58724718
"283",0.03,1245,-4544743.82926409
"284",0.03,1260,-4544909.11079455
"285",0.03,1275,-4545072.47744592
"286",0.03,1290,-4545233.97324889
"287",0.03,1305,-4545393.64073045
"288",0.03,1320,-4545551.52098088
"289",0.03,1335,-4545707.65371854
"290",0.03,1350,-4545862.07734943
"291",0.03,1365,-4546014.82902541
"292",0.03,1380,-4546165.94469784
"293",0.03,1395,-4546315.45916846
"294",0.03,1410,-4546463.40613888
